name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Elephant Moraine 90349,8758,Valid,L6,7.3,Found,01/01/1990 12:00:00 AM,-76.2669,156.46053,"(-76.2669, 156.46053)"
Elephant Moraine 90355,8764,Valid,L6,83.0,Found,01/01/1990 12:00:00 AM,-76.26759,156.41407,"(-76.26759, 156.41407)"
Elephant Moraine 90374,8783,Valid,L6,38.8,Found,01/01/1990 12:00:00 AM,-76.27076,156.40402,"(-76.27076, 156.40402)"
Elephant Moraine 90382,8791,Valid,L6,14.5,Found,01/01/1990 12:00:00 AM,-76.26709,156.43807,"(-76.26709, 156.43807)"
Elephant Moraine 90390,8799,Valid,L6,45.6,Found,01/01/1990 12:00:00 AM,-76.27455,156.41463,"(-76.27455, 156.41463)"
Elephant Moraine 90391,8800,Valid,L6,59.8,Found,01/01/1990 12:00:00 AM,-76.26919,156.42366,"(-76.26919, 156.42366)"
Elephant Moraine 90396,8805,Valid,L6,22.0,Found,01/01/1990 12:00:00 AM,-76.26553,156.40974,"(-76.26553, 156.40974)"
Elephant Moraine 90398,8807,Valid,L6,36.3,Found,01/01/1990 12:00:00 AM,-76.2772,156.42224,"(-76.2772, 156.42224)"
Elephant Moraine 90399,8808,Valid,L6,65.9,Found,01/01/1990 12:00:00 AM,-76.27105,156.41603,"(-76.27105, 156.41603)"
Elephant Moraine 90409,8818,Valid,L6,26.0,Found,01/01/1990 12:00:00 AM,-76.26848,156.42674,"(-76.26848, 156.42674)"
Elephant Moraine 90416,8825,Valid,L6,5.3,Found,01/01/1990 12:00:00 AM,-76.28057,156.43334,"(-76.28057, 156.43334)"
Elephant Moraine 90417,8826,Valid,L6,7.6,Found,01/01/1990 12:00:00 AM,-76.27264,156.42686,"(-76.27264, 156.42686)"
Elephant Moraine 90419,8828,Valid,L6,2.1,Found,01/01/1990 12:00:00 AM,-76.27651,156.37532,"(-76.27651, 156.37532)"
Elephant Moraine 90422,8831,Valid,L6,1.4,Found,01/01/1990 12:00:00 AM,-76.27526,156.39024,"(-76.27526, 156.39024)"
Elephant Moraine 90423,8832,Valid,L6,24.0,Found,01/01/1990 12:00:00 AM,-76.27697,156.42384,"(-76.27697, 156.42384)"
Elephant Moraine 90446,8855,Valid,L6,84.7,Found,01/01/1990 12:00:00 AM,-76.27038,156.4435,"(-76.27038, 156.4435)"
Elephant Moraine 90457,8866,Valid,L6,80.7,Found,01/01/1990 12:00:00 AM,-76.28193,156.44769,"(-76.28193, 156.44769)"
Elephant Moraine 90466,8875,Valid,L6,162.3,Found,01/01/1990 12:00:00 AM,-76.26842,156.41554,"(-76.26842, 156.41554)"
Elephant Moraine 90478,8887,Valid,L6,58.7,Found,01/01/1990 12:00:00 AM,-76.27754,156.42762,"(-76.27754, 156.42762)"
Elephant Moraine 90480,8889,Valid,L6,66.8,Found,01/01/1990 12:00:00 AM,-76.27697,156.42678,"(-76.27697, 156.42678)"
Elephant Moraine 90484,8893,Valid,L6,93.6,Found,01/01/1990 12:00:00 AM,-76.27389,156.50221,"(-76.27389, 156.50221)"
Elephant Moraine 90493,8902,Valid,L6,219.0,Found,01/01/1990 12:00:00 AM,-76.27209,156.43576,"(-76.27209, 156.43576)"
Elephant Moraine 90498,8907,Valid,L6,71.3,Found,01/01/1990 12:00:00 AM,-76.27423,156.42867,"(-76.27423, 156.42867)"
Elephant Moraine 90499,8908,Valid,L6,104.9,Found,01/01/1990 12:00:00 AM,-76.27376,156.4391,"(-76.27376, 156.4391)"
Elephant Moraine 90503,8912,Valid,L6,85.0,Found,01/01/1990 12:00:00 AM,-76.28383,156.47433,"(-76.28383, 156.47433)"
Elephant Moraine 90508,8917,Valid,L6,42.6,Found,01/01/1990 12:00:00 AM,-76.28219,156.46842,"(-76.28219, 156.46842)"
Elephant Moraine 90510,8919,Valid,L6,23.5,Found,01/01/1990 12:00:00 AM,-76.28902,156.43485,"(-76.28902, 156.43485)"
Elephant Moraine 90524,8933,Valid,L6,8.9,Found,01/01/1990 12:00:00 AM,-76.28863,156.43207,"(-76.28863, 156.43207)"
Elephant Moraine 90529,8938,Valid,L6,6.8,Found,01/01/1990 12:00:00 AM,-76.28737,156.42991,"(-76.28737, 156.42991)"
Elephant Moraine 90537,8946,Valid,L6,17.6,Found,01/01/1990 12:00:00 AM,-76.2805,156.47031,"(-76.2805, 156.47031)"
Elephant Moraine 90542,8951,Valid,L3.8,5.0,Found,01/01/1990 12:00:00 AM,-76.28533,156.43785,"(-76.28533, 156.43785)"
Elephant Moraine 90568,8977,Valid,L6,22.8,Found,01/01/1990 12:00:00 AM,-76.26959,156.43945,"(-76.26959, 156.43945)"
Elephant Moraine 90572,8981,Valid,L6,28.9,Found,01/01/1990 12:00:00 AM,-76.26798,156.44092,"(-76.26798, 156.44092)"
Elephant Moraine 90579,8988,Valid,L6,15.6,Found,01/01/1990 12:00:00 AM,-76.27762,156.43847,"(-76.27762, 156.43847)"
Elephant Moraine 90581,8990,Valid,L6,18.4,Found,01/01/1990 12:00:00 AM,-76.28218,156.47658,"(-76.28218, 156.47658)"
Elephant Moraine 90584,8993,Valid,L6,5.5,Found,01/01/1990 12:00:00 AM,-76.26503,156.49249,"(-76.26503, 156.49249)"
Elephant Moraine 90587,8996,Valid,L6,4.6,Found,01/01/1990 12:00:00 AM,-76.28798,156.467,"(-76.28798, 156.467)"
Elephant Moraine 90592,9001,Valid,L6,6.4,Found,01/01/1990 12:00:00 AM,-76.28679,156.45309,"(-76.28679, 156.45309)"
Elephant Moraine 90597,9006,Valid,L6,78.9,Found,01/01/1990 12:00:00 AM,-76.26757,156.408,"(-76.26757, 156.408)"
Elephant Moraine 90615,9024,Valid,L6,43.0,Found,01/01/1990 12:00:00 AM,-76.28503,156.46888,"(-76.28503, 156.46888)"
Elephant Moraine 90628,9037,Valid,L3.4,23.1,Found,01/01/1990 12:00:00 AM,-76.29366,156.36046,"(-76.29366, 156.36046)"
Elephant Moraine 90633,9042,Valid,L6,44.8,Found,01/01/1990 12:00:00 AM,-76.26889,156.4216,"(-76.26889, 156.4216)"
Elephant Moraine 90642,9051,Valid,L6,5.4,Found,01/01/1990 12:00:00 AM,-76.26554,156.42553,"(-76.26554, 156.42553)"
Elephant Moraine 90646,9055,Valid,L6,27.2,Found,01/01/1990 12:00:00 AM,-76.2767,156.4175,"(-76.2767, 156.4175)"
Elephant Moraine 90650,9059,Valid,L5,15.7,Found,01/01/1990 12:00:00 AM,-76.27739,156.42867,"(-76.27739, 156.42867)"
Elephant Moraine 90651,9060,Valid,L6,36.6,Found,01/01/1990 12:00:00 AM,-76.27812,156.42932,"(-76.27812, 156.42932)"
Elephant Moraine 90662,9071,Valid,L6,25.5,Found,01/01/1990 12:00:00 AM,-76.27191,156.42868,"(-76.27191, 156.42868)"
Elephant Moraine 90675,9084,Valid,L6,49.9,Found,01/01/1990 12:00:00 AM,-76.28002,156.42285,"(-76.28002, 156.42285)"
Elephant Moraine 90684,9093,Valid,L6,16.6,Found,01/01/1990 12:00:00 AM,-76.27199,156.44076,"(-76.27199, 156.44076)"
Elephant Moraine 90687,9096,Valid,L6,10.6,Found,01/01/1990 12:00:00 AM,-76.26742,156.44963,"(-76.26742, 156.44963)"
Elephant Moraine 90693,9102,Valid,L6,10.9,Found,01/01/1990 12:00:00 AM,-76.28982,156.41449,"(-76.28982, 156.41449)"
Elephant Moraine 90694,9103,Valid,L6,22.9,Found,01/01/1990 12:00:00 AM,-76.28927,156.42524,"(-76.28927, 156.42524)"
Elephant Moraine 90695,9104,Valid,L6,30.6,Found,01/01/1990 12:00:00 AM,-76.2804,156.42536,"(-76.2804, 156.42536)"
Elephant Moraine 90731,9140,Valid,L6,34.3,Found,01/01/1990 12:00:00 AM,-76.27125,156.44472,"(-76.27125, 156.44472)"
Elephant Moraine 90733,9142,Valid,L6,21.1,Found,01/01/1990 12:00:00 AM,-76.27239,156.4385,"(-76.27239, 156.4385)"
Elephant Moraine 90753,9162,Valid,L6,30.2,Found,01/01/1990 12:00:00 AM,-76.28498,156.46089,"(-76.28498, 156.46089)"
Elephant Moraine 90758,9167,Valid,L6,44.2,Found,01/01/1990 12:00:00 AM,-76.28479,156.46238,"(-76.28479, 156.46238)"
Elephant Moraine 90793,9202,Valid,L6,17.5,Found,01/01/1990 12:00:00 AM,-76.28317,156.46285,"(-76.28317, 156.46285)"
Elephant Moraine 90794,9203,Valid,L6,13.1,Found,01/01/1990 12:00:00 AM,-76.2823,156.46199,"(-76.2823, 156.46199)"
Elephant Moraine 90795,9204,Valid,L6,4.9,Found,01/01/1990 12:00:00 AM,-76.28774,156.43651,"(-76.28774, 156.43651)"
Elephant Moraine 90797,9206,Valid,L6,27.0,Found,01/01/1990 12:00:00 AM,-76.28233,156.47658,"(-76.28233, 156.47658)"
Elephant Moraine 90805,9214,Valid,L6,11.9,Found,01/01/1990 12:00:00 AM,-76.28725,156.43734,"(-76.28725, 156.43734)"
Elephant Moraine 90808,9217,Valid,L6,5.2,Found,01/01/1990 12:00:00 AM,-76.28631,156.43429,"(-76.28631, 156.43429)"
Elephant Moraine 90810,9219,Valid,L6,19.5,Found,01/01/1990 12:00:00 AM,-76.28324,156.46829,"(-76.28324, 156.46829)"
Elephant Moraine 90812,9221,Valid,L6,3.5,Found,01/01/1990 12:00:00 AM,-76.28526,156.45039,"(-76.28526, 156.45039)"
Elephant Moraine 90839,9248,Valid,L6,52.5,Found,01/01/1990 12:00:00 AM,-76.27908,156.53304,"(-76.27908, 156.53304)"
Elephant Moraine 90852,9261,Valid,L6,37.9,Found,01/01/1990 12:00:00 AM,-76.28259,156.51107,"(-76.28259, 156.51107)"
Elephant Moraine 90855,9264,Valid,L6,13.8,Found,01/01/1990 12:00:00 AM,-76.28631,156.4723,"(-76.28631, 156.4723)"
Elephant Moraine 90859,9268,Valid,L6,26.2,Found,01/01/1990 12:00:00 AM,-76.28739,156.47888,"(-76.28739, 156.47888)"
Elephant Moraine 90866,9275,Valid,L6,13.3,Found,01/01/1990 12:00:00 AM,-76.27915,156.49366,"(-76.27915, 156.49366)"
Elephant Moraine 90878,9287,Valid,L6,10.8,Found,01/01/1990 12:00:00 AM,-76.28009,156.47999,"(-76.28009, 156.47999)"
Elephant Moraine 90880,9289,Valid,L6,41.4,Found,01/01/1990 12:00:00 AM,-76.27498,156.50899,"(-76.27498, 156.50899)"
Elephant Moraine 90881,9290,Valid,L6,19.8,Found,01/01/1990 12:00:00 AM,-76.27835,156.49957,"(-76.27835, 156.49957)"
Elephant Moraine 90883,9292,Valid,L6,71.0,Found,01/01/1990 12:00:00 AM,-76.28175,156.50481,"(-76.28175, 156.50481)"
Elephant Moraine 90886,9295,Valid,L6,14.8,Found,01/01/1990 12:00:00 AM,-76.28555,156.47914,"(-76.28555, 156.47914)"
Elephant Moraine 90890,9299,Valid,L6,25.7,Found,01/01/1990 12:00:00 AM,-76.28622,156.49326,"(-76.28622, 156.49326)"
Elephant Moraine 90916,9325,Valid,L3.6,4.6,Found,01/01/1990 12:00:00 AM,-76.26579,156.5072,"(-76.26579, 156.5072)"
Elephant Moraine 90919,9328,Valid,L6,0.2,Found,01/01/1990 12:00:00 AM,-76.2692,156.46374,"(-76.2692, 156.46374)"
Elephant Moraine 90935,9344,Valid,L6,17.2,Found,01/01/1990 12:00:00 AM,-76.27239,156.4328,"(-76.27239, 156.4328)"
Elephant Moraine 90962,9371,Valid,L6,12.9,Found,01/01/1990 12:00:00 AM,-76.27247,156.43459,"(-76.27247, 156.43459)"
Elephant Moraine 90981,9390,Valid,L6,3.8,Found,01/01/1990 12:00:00 AM,-76.27104,156.4357,"(-76.27104, 156.4357)"
Elephant Moraine 90984,9393,Valid,L6,1.9,Found,01/01/1990 12:00:00 AM,-76.27404,156.43113,"(-76.27404, 156.43113)"
Elephant Moraine 92005,9407,Valid,CM2,5.4,Found,01/01/1992 12:00:00 AM,-76.03298,156.298,"(-76.03298, 156.298)"
Elephant Moraine 92030,9432,Valid,L6,1151.2,Found,01/01/1992 12:00:00 AM,-76.07441,155.92739,"(-76.07441, 155.92739)"
Elephant Moraine 92033,9435,Valid,H5,735.6,Found,01/01/1992 12:00:00 AM,-76.03088,156.00672,"(-76.03088, 156.00672)"
Elephant Moraine 92044,9446,Valid,H5,139.7,Found,01/01/1992 12:00:00 AM,-76.05565,156.27849,"(-76.05565, 156.27849)"
Elephant Moraine 92046,9448,Valid,L6,162.2,Found,01/01/1992 12:00:00 AM,-76.09729,156.23008,"(-76.09729, 156.23008)"
Elephant Moraine 92047,9449,Valid,H5,134.9,Found,01/01/1992 12:00:00 AM,-76.04682,155.97254,"(-76.04682, 155.97254)"
Elephant Moraine 92064,9466,Valid,H5,71.4,Found,01/01/1992 12:00:00 AM,-76.05506,156.30897,"(-76.05506, 156.30897)"
Elephant Moraine 92074,9476,Valid,L6,24.0,Found,01/01/1992 12:00:00 AM,-76.05375,156.2343,"(-76.05375, 156.2343)"
Elephant Moraine 92082,9484,Valid,L6,3.9,Found,01/01/1992 12:00:00 AM,-76.04127,156.09182,"(-76.04127, 156.09182)"
Elephant Moraine 92090,9492,Valid,L6,23.7,Found,01/01/1992 12:00:00 AM,-76.10605,155.99312,"(-76.10605, 155.99312)"
Elephant Moraine 92096,9498,Valid,L6,0.2,Found,01/01/1992 12:00:00 AM,-76.03307,156.19815,"(-76.03307, 156.19815)"
Elephant Moraine 92101,9503,Valid,L6,3.3,Found,01/01/1992 12:00:00 AM,-76.07937,156.05797,"(-76.07937, 156.05797)"
Elephant Moraine 92106,9508,Valid,L6,3.0,Found,01/01/1992 12:00:00 AM,-76.07912,156.05916,"(-76.07912, 156.05916)"
Elephant Moraine 92115,9517,Valid,H5,22.1,Found,01/01/1992 12:00:00 AM,-76.05721,156.33781,"(-76.05721, 156.33781)"
Elephant Moraine 92116,9518,Valid,L6,37.7,Found,01/01/1992 12:00:00 AM,-76.11494,156.02434,"(-76.11494, 156.02434)"
Elephant Moraine 92119,9521,Valid,H5,32.1,Found,01/01/1992 12:00:00 AM,-76.099,156.17471,"(-76.099, 156.17471)"
Elephant Moraine 92141,9543,Valid,L6,0.9,Found,01/01/1992 12:00:00 AM,-76.01302,155.70581,"(-76.01302, 155.70581)"
Elephant Moraine 92150,9551,Valid,CR2,18.8,Found,01/01/1992 12:00:00 AM,-76.03351,156.02232,"(-76.03351, 156.02232)"
Elephant Moraine 92171,9572,Valid,CR2,24.0,Found,01/01/1992 12:00:00 AM,-76.03404,156.03093,"(-76.03404, 156.03093)"
Elephant Moraine 92178,9579,Valid,CR2,19.5,Found,01/01/1992 12:00:00 AM,-76.05342,156.00834,"(-76.05342, 156.00834)"
Elephant Moraine 92181,9582,Valid,L6,11.7,Found,01/01/1992 12:00:00 AM,-76.05605,156.03324,"(-76.05605, 156.03324)"
Elephant Moraine 92182,9583,Valid,L6,38.5,Found,01/01/1992 12:00:00 AM,-76.02375,155.96475,"(-76.02375, 155.96475)"
Elephant Moraine 92183,9584,Valid,CR2,7.7,Found,01/01/1992 12:00:00 AM,-76.04009,156.04951,"(-76.04009, 156.04951)"
Elephant Moraine 92185,9586,Valid,CR2,10.0,Found,01/01/1992 12:00:00 AM,-76.04512,156.02739,"(-76.04512, 156.02739)"
Elephant Moraine 92188,9589,Valid,CR2,0.3,Found,01/01/1992 12:00:00 AM,-85.63333,157.16667,"(-85.63333, 157.16667)"
Elephant Moraine 92190,9591,Valid,CR2,13.4,Found,01/01/1992 12:00:00 AM,-76.05754,155.9982,"(-76.05754, 155.9982)"
Elephant Moraine 96007,9601,Valid,CM2,5.1,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96008,9602,Valid,Lunar (basalt),52.97,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96025,9619,Valid,H6,385.3,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96028,9622,Valid,L6,636.4,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96035,9629,Valid,L4,223.5,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96046,9640,Valid,L6,117.5,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96064,9658,Valid,L6,24.5,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96069,9663,Valid,H6,5.0,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96078,9672,Valid,L6,2.6,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96080,9674,Valid,LL6,28.1,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96092,9686,Valid,L6,57.1,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96105,9699,Valid,H5,21.9,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96109,9703,Valid,LL3.4,0.9,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96125,9717,Valid,H6,0.9,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96130,9722,Valid,L6,34.0,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96141,9733,Valid,LL4,13.9,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96163,9755,Valid,H6,0.6,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96164,9756,Valid,H6,2.2,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96168,9760,Valid,H5,2.6,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96179,9771,Valid,L6,5.3,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96182,9774,Valid,H5,4.1,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96184,9776,Valid,L6,15.2,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96186,9778,Valid,H6,101.3,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96190,9782,Valid,H5,60.8,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96203,9794,Valid,L6,0.3,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96208,9799,Valid,L5,14.7,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96215,9806,Valid,L6,15.6,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96244,9835,Valid,H5,20.0,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96246,9837,Valid,H5,44.5,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96249,9840,Valid,H6,40.3,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96259,9850,Valid,CR2,12.1,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96262,9853,Valid,Ureilite,54.2,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Graves Nunataks 06215,46067,Valid,L5,8.0,Found,01/01/2006 12:00:00 AM,,,
Elephant Moraine 96271,9862,Valid,L6,94.8,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96287,9878,Valid,L6,4.6,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96300,9891,Valid,H6,4.8,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96309,9900,Valid,EH4/5,7.9,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96322,9912,Valid,Ureilite,17.1,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96346,9936,Valid,L6,97.2,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96349,9939,Valid,L6,25.6,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 96352,9942,Valid,LL5,21.5,Found,01/01/1996 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99417,9960,Valid,H5,89.2,Found,01/01/1999 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99419,9962,Valid,L5,54.0,Found,01/01/1999 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99431,9974,Valid,H5,26.4,Found,01/01/1999 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99432,9975,Valid,H5,18.2,Found,01/01/1999 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99434,9977,Valid,L5,20.1,Found,01/01/1999 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99440,9983,Valid,L5,5.0,Found,01/01/1999 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99447,9990,Valid,H6,1.0,Found,01/01/1999 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99448,9991,Valid,H5,7.0,Found,01/01/1999 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99449,9992,Valid,H5,10.9,Found,01/01/1999 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine 99453,9996,Valid,L5,22.0,Found,01/01/1999 12:00:00 AM,-76.18333,157.16667,"(-76.18333, 157.16667)"
Elephant Moraine A79006,10007,Valid,Eucrite-pmict,716.4,Found,01/01/1979 12:00:00 AM,-76.29111,157.22278,"(-76.29111, 157.22278)"
Ellicott,10021,Valid,"Iron, IAB-ung",15700.0,Found,01/01/1960 12:00:00 AM,38.80778,-104.56944,"(38.80778, -104.56944)"
Elyria,10030,Valid,"Iron, IIIAB",10900.0,Found,01/01/1971 12:00:00 AM,38.28,-97.365,"(38.28, -97.365)"
Emsland,10035,Valid,"Iron, ungrouped",19000.0,Found,01/01/1940 12:00:00 AM,53.1,7.2,"(53.1, 7.2)"
Enon,10037,Valid,"Iron, ungrouped",763.0,Found,01/01/1883 12:00:00 AM,39.86667,-83.95,"(39.86667, -83.95)"
Fairburn,56565,Valid,"Iron, IAB-ung",445.0,Found,01/01/1907 12:00:00 AM,43.603,-103.026,"(43.603, -103.026)"
Fillmore,10093,Valid,Iron,113.0,Found,01/01/1916 12:00:00 AM,49.883333,-103.6,"(49.883333, -103.6)"
Finger Ridge 01600,10097,Valid,H5,876.2,Found,01/01/2001 12:00:00 AM,,,
Finney,10104,Valid,L5,10700.0,Found,01/01/1962 12:00:00 AM,34.26667,-101.56667,"(34.26667, -101.56667)"
Finney (c),10105,Valid,OC,492.0,Found,01/01/1978 12:00:00 AM,34.29833,-101.68333,"(34.29833, -101.68333)"
Flagler,30564,Valid,H3.8,4100.0,Found,01/01/1972 12:00:00 AM,39.23,-102.99,"(39.23, -102.99)"
Flandreau,10109,Valid,H5,21360.0,Found,01/01/1983 12:00:00 AM,44.04833,-96.59167,"(44.04833, -96.59167)"
Fleming,10110,Valid,H3.7,1750.0,Found,01/01/1940 12:00:00 AM,40.68333,-102.81667,"(40.68333, -102.81667)"
Forrest 010,10133,Valid,L4,359.0,Found,01/01/1982 12:00:00 AM,-30.11667,127.86667,"(-30.11667, 127.86667)"
Forrest 017,10140,Valid,H4,4.6,Found,01/01/1992 12:00:00 AM,-30.17417,128.069,"(-30.17417, 128.069)"
Forrest 029,10152,Valid,H3-5,6.0,Found,01/01/1992 12:00:00 AM,-30.7315,127.93917,"(-30.7315, 127.93917)"
Forrest 037,10160,Valid,H4,10.0,Found,01/01/1991 12:00:00 AM,-30.75,128.08333,"(-30.75, 128.08333)"
Forrest Lakes,10161,Valid,LL5,500.0,Found,01/01/1948 12:00:00 AM,-29.41667,129.5,"(-29.41667, 129.5)"
Franconia,10174,Valid,H5,100000.0,Found,01/01/2002 12:00:00 AM,34.71637,-114.22197,"(34.71637, -114.22197)"
Frontier Mountain 01002,10186,Valid,H3,13.6,Found,01/01/2001 12:00:00 AM,-72.9525,160.50528,"(-72.9525, 160.50528)"
Frontier Mountain 01013,10197,Valid,H3,11.4,Found,01/01/2001 12:00:00 AM,-72.98722,160.40639,"(-72.98722, 160.40639)"
Frontier Mountain 01027,10210,Valid,H4,7.3,Found,01/01/2001 12:00:00 AM,-72.99028,160.40389,"(-72.99028, 160.40389)"
Frontier Mountain 01060,10243,Valid,H6,1.8,Found,01/01/2001 12:00:00 AM,-72.98944,160.40444,"(-72.98944, 160.40444)"
Frontier Mountain 01062,10245,Valid,H5,13.3,Found,01/01/2001 12:00:00 AM,-72.98778,160.40944,"(-72.98778, 160.40944)"
Frontier Mountain 01066,10249,Valid,H3,5.6,Found,01/01/2001 12:00:00 AM,-72.98861,160.40722,"(-72.98861, 160.40722)"
Frontier Mountain 01070,10253,Valid,H3,6.6,Found,01/01/2001 12:00:00 AM,-72.99,160.40639,"(-72.99, 160.40639)"
Frontier Mountain 01088,10271,Valid,Ureilite,11.1,Found,01/01/2001 12:00:00 AM,-72.95222,160.45528,"(-72.95222, 160.45528)"
Frontier Mountain 01096,10279,Valid,H6,3.3,Found,01/01/2001 12:00:00 AM,-72.95333,160.46194,"(-72.95333, 160.46194)"
Frontier Mountain 01097,10280,Valid,L6,0.9,Found,01/01/2001 12:00:00 AM,-72.95417,160.43833,"(-72.95417, 160.43833)"
Frontier Mountain 01098,10281,Valid,L6,10.1,Found,01/01/2001 12:00:00 AM,-72.95167,160.51167,"(-72.95167, 160.51167)"
Frontier Mountain 01100,10283,Valid,H4,11.3,Found,01/01/2001 12:00:00 AM,-72.95167,160.51167,"(-72.95167, 160.51167)"
Frontier Mountain 01101,10284,Valid,LL4,2.2,Found,01/01/2001 12:00:00 AM,-72.95194,160.46056,"(-72.95194, 160.46056)"
Frontier Mountain 01104,10287,Valid,H4/5,13.9,Found,01/01/2001 12:00:00 AM,-72.95167,160.51111,"(-72.95167, 160.51111)"
Frontier Mountain 01122,10305,Valid,H4-5,3.5,Found,01/01/2001 12:00:00 AM,-72.95194,160.46361,"(-72.95194, 160.46361)"
Frontier Mountain 01125,10308,Valid,H6,0.3,Found,01/01/2001 12:00:00 AM,-72.95194,160.46722,"(-72.95194, 160.46722)"
Frontier Mountain 01137,10319,Valid,H5,19.6,Found,01/01/2001 12:00:00 AM,-72.99222,160.39611,"(-72.99222, 160.39611)"
